,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
103,Buenos Aires Grill Restaurant,,,4.5,,"Carrer de Valencia, 189","Buenos Aires, Carrer de València, 189, 080007 Barcelona, Spain",41.3894013,2.158697
104,Guru Food & Cocktails,,,4.5,,Josep Anslem Clave 19,"Catalonia, Spain",41.66667,2.0
105,L'Antic Bocoi del Gotic,,,4.5,,"Baixada de Viladecols, 3","Baixada de Viladecols, 3, 08002 Barcelona, Spain",41.3820812,2.1794256
106,Can Reixes,,,4.5,,"Plaza Real, 12","Royal Square, Barcelona, Spain",41.3800909,2.1750111
107,Can Dende,,,4.5,,"Carrer Ciutat de Granada, 44","Carrer Ciutat de Granada, 08018 Barcelona, Spain",41.4040457,2.1907711
108,Mimo's Born,,,4.5,,Placa de Jacint Reventos,"Plaça de Jacint Reventós, Barcelona, Spain",41.3834939,2.1806719
109,La Garriga,,,4.5,,Mallorca 272,"Mallorca, Carrer de Mallorca, 08009 Barcelona, Spain",41.3968924,2.1667115
110,La Alcoba Azul - Tapas,,,4.5,,Carrer de Salomo ben Adret 14,"La Alcoba Azul, Carrer de Salomó ben Adret, 14, 08002 Barcelona, Spain",41.3828913,2.175531
111,La Mezcla,,€2 - €9,4.5,,"Placa Sant Pere, 10","Viver i Serrateix, Catalonia, Spain",41.9268784,1.8078368
112,Casa Rafols,,,4.5,,Ronda Sant Pere 74,"Ronda Sant Pere, Plaça de Catalunya, 08010 Barcelona, Spain",41.3877901,2.1705608
113,La Pruna,,€15 - €40,4.5,,"Calabria,64","Backyard, Carrer de Calàbria, 64, 08015 Barcelona, Spain",41.3782497,2.1572993
114,Kame House Kitchen,,€9 - €15,4.5,,"Carrer d'Enric Granados, 14","El Fumet, Carrer d'Enric Granados, 14, 080007 Barcelona, Spain",41.3896739,2.1603979
115,La Selva,,€25 - €50,4.5,,"Carrer de la Industria, 138","Carrer de la Indústria, 138, 08037 Barcelona, Spain",41.4080165,2.1724644
116,Restaurante Rokelin Gourmet,,€25 - €35,4.5,,"Comte d'Urgell, 7","Comte d'Urgell, Gran Via de les Corts Catalanes, 08015 Barcelona, Spain",41.3820143,2.1582348
117,Caelis,,€50 - €148,4.5,,"Via Laietana, 49","Restaurant La Plassohla, Via Laietana, 49, 08010 Barcelona, Spain",41.3869749,2.1742731
118,Volta al Mon,,€20 - €50,4.5,,"Calle Muntaner, 51","Muntaner, Via Augusta, 08021 Barcelona, Spain",41.3986188,2.1428749
119,Barrachina Meat & Burger,,€5 - €50,4.5,,"Placa de Sant Josep, 8","Plaça de Sant Josep, Sant Mateu de Bages, Spain",41.8480403,1.7218327
120,Bordeaux - Cuina Oberta,,,5.0,,"Carrer Del Taquigraf Garriga, 34","Carrer del Taquigraf Garriga, 08292 Esparreguera, Spain",41.5387347,1.8662983
121,Tosca Palau,,,4.5,,C/ Sant Pere Mes Alt 8,"Carrer de Sant Pere Més Alt, 08003 Barcelona, Spain",41.3883879,2.1766074
122,My Fucking Restaurant,,,4.5,,Calle Nou de la Rambla n35,"Carrer Nou de la Rambla, 08001 Barcelona, Spain",41.3749609,2.1700292
123,Reina Margherita,,,4.5,,"Passeig de Joan de Borbo, 29","Passeig de Joan de Borbó, 08 Barcelona, Spain",41.3810792,2.1863797
124,Restaurante Koh-i-Noor India,,€15 - €50,4.5,,"Carrer del Marques de Campo Sagrado, 3","Restaurante Koh-i-noor india, Carrer del Marquès de Campo Sagrado, 3, 08001 Barcelona, Spain",41.3755898,2.1634835
125,Nolita,,€7 - €14,4.5,,Carrer de Llull 230,"Carrer de Llull, 230, 08005 Barcelona, Spain",41.4024461,2.2048719
126,Nineteen Restaurant,,€20 - €40,4.5,,Placa Catalunya 19,"Plaça Catalunya, La Creu Alta, Sabadell, Catalonia, Spain",41.5501092,2.098254
127,CACTUS CAFE,,€8 - €16,4.5,,Blasco de Garay 10,"Carrer de Blasco de Garay, 08015 Barcelona, Spain",41.3744643,2.1631961
128,La Dentelliere,,,4.5,,"Carrer Ample, 26","Sensi Tapas, Carrer Ample, 26, 08002 Barcelona, Spain",41.380334,2.1799583
129,Patagonia Beef & Wine,,,4.5,,"Gran Via de Les Corts Catalanes, 660","BUHO Boutique Hotel, Gran Via de les Corts Catalanes, 660, 08010 Barcelona, Spain",41.3911105,2.1709701
130,Can Cortada,,,4.0,,"Avinguda de l'Estatut de Catalunya, s/n","Avinguda de l'Estatut de Catalunya, 08032 Barcelona, Spain",41.4296144,2.1566711
131,La Prudencia del Raval,,"Mediterranean, European, Spanish",4.5,,Calle Abat Safont 11,"Catalonia, Spain",41.66667,2.0
132,Caramba,,€7 - €14,4.5,,Carrer de la Cera 57,"Carrer de la Cera, 08001 Barcelona, Spain",41.3792193,2.1666056
133,aQistoi,,€4 - €15,4.5,,Gerona 94,"Girona, Catalonia Square, Barcelona, Spain",41.3870006,2.169377
134,La Caravana,,"Middle Eastern, Arabic",4.5,,Calle Mozart 15,"carrer Mozart, 08110 Montcada i Reixac, Spain",41.4949416,2.1800639
135,Ziryab Fusion Tapas Bar,,,4.5,,Carrer dels Ases 16,"Carrer dels Ases, CP 08003 Barcelona, Spain",41.3835457,2.1827456
136,ElDiset,,,4.5,,Carrer Antic de Sant Joan 3 y Passeig Del Born,"Born, Sittard-Geleen, Netherlands",51.03167,5.80972
137,Sensi Mezzanine Tapas,,,4.5,,24 Carrer Ample,"Carrer Ample, 24, 08002 Barcelona, Spain",41.3802544,2.1798884
138,Musiu,,€4 - €12,4.5,,"Carrer de Pau Claris, 112","Musiu, Carrer de Pau Claris, 112, 08009 Barcelona, Spain",41.3919087,2.1686068
139,Bar Quiosc Modern,,,4.5,,Mercado de la Boqueria 364-368,"Catalonia, Spain",41.66667,2.0
140,Swad - The Indian Restaurant,,,4.5,,"C/ Sancho de Avila, 167","Sancho, Carrer de Sancho de Ávila, 7, 08018 Barcelona, Spain",41.3971005,2.187613
141,Bar La Plata,,,4.5,,"Carrer Merce, 28","Bó de B, Carrer de la Fusteria, 14-16, 08002 Barcelona, Spain",41.3811978,2.1810992
142,Onofre,,€18 - €30,4.5,,"Magdalenes, 19","Carrer de les Magdalenes, 19, 08002 Barcelona, Spain",41.3862703,2.1745524
143,Son Hao,,€15 - €35,4.5,,"Carrer de Muntaner, 66","Son Hao, Carrer de Muntaner, 66, 08036 Barcelona, Spain",41.387047,2.1590958
144,Spark,,€25 - €50,4.5,,"Calle Diputacion, 329","Catalonia, Spain",41.66667,2.0
145,Avocado,,€4 - €13,4.5,,"Av. del Parallel, 44","Avinguda del Paral·lel, 8015 Barcelona, Spain",41.37495,2.1528563
146,Apribocca,,€12 - €30,4.5,,"Plaza Sant Bernat Calbo, 6","Catalonia, Spain",41.66667,2.0
147,mantura tapes asiatiques i vins,,,4.5,,"Carrer de L' Encarnacio, 38","Catalonia, Spain",41.66667,2.0
148,Little Italy Restaurant,,,4.0,,"Carrer del Rec, 30","Carrer del Rec, 08003 Barcelona, Spain",41.385832,2.1823617
149,Piazze D'Italia,,,4.5,,"Carrer de Casanova, 94","Carrer de Casanova, 94, 08011 Barcelona, Spain",41.3869914,2.1570091
150,La Taula,,€10 - €26,4.5,,"Sant Marius, 8","Carrer de Sant Màrius, 08022 Barcelona, Spain",41.4034316,2.137206
151,Deja Burg,,€15 - €30,4.5,,"Corcega, 216","Carrer de Còrcega, 08290 Cerdanyola del Vallès, Spain",41.4781286,2.1309929
152,Cafe De L'Academia,,,4.5,,"Placa St Just, Lledo 1","Catalonia, Spain",41.66667,2.0
153,Guell Tapas,,,4.5,,"Carrer Nou de la Rambla, 20","Carrer Nou de la Rambla, 20, 08001 Barcelona, Spain",41.3786129,2.1736937
154,Mastico.,,,4.5,,Moline 1-3,"Carrer de Moliné, 08006 Barcelona, Spain",41.3983536,2.1479564
155,Carlota Akaneya,,€40 - €70,4.5,,Pintor Fortuny 32,"L'Hortet, Carrer del Pintor Fortuny, 32, 08001 Barcelona, Spain",41.3824236,2.1687015
156,Angle Barcelona,,€74 - €138,4.5,,"C/ Arago, 214","Aragó, Carrer dels Enamorats, 08013 Barcelona, Spain",41.4041622,2.1816598
157,Enkel,,€5 - €12,4.5,,"Baixada de Sant Miquel, 6","Baixada de Sant Miquel, 6, 08002 Barcelona, Spain",41.3814694,2.1767447
158,Coco's Secrets by Coco Vintage Market,,"Cafe, International, Spanish",4.5,,"Passatge de Josep Llovera, 7","Coco Vintage Market, Passatge de Josep Llovera, 7, 08021 Barcelona, Spain",41.3959776,2.1481192
159,Raco D'en Cesc,,€33 - €133,4.5,,"Calle Diputacio, 201","Carrer Diputacio, 08780 el Papiol, Spain",41.4399999,2.0118282
160,Bambarol,,,4.5,,Carrer Santalo 21,"Carrer de Santaló, 08021 Barcelona, Spain",41.396429,2.1447797
